yourlist:M2021061492C7BAECDB1C5C413EE0E0348724B68206ED2EH	Entry
UBIAD1	R4GNE3
UBR4	Q5T4S7
UBR4	A0A0A0MSW0
UBR4	L0R6T5
UBR4	Q5TBN9
UBR4	Q96HY5
UBR4	X6R960
UBR4	X6RE05
UBXN10	Q96LJ8
UBXN10	Q3ZCW1
UBXN11	Q5T124
UBXN11	Q5T118
UBXN11	Q5T130
UBXN11	X6R8K8
UBXN11	X6R8M6
UBXN11	X6RDK7
UBXN11	X6RDY0
UBXN11	X6RIY5
UQCRHL	A0A096LP55
USP48	Q86UV5
USP48	A0A0A0MRS6
USP48	B7ZKR8
USP48	B7ZKS3
USP48	E9PJ87
USP48	E9PJ93
USP48	E9PJH5
USP48	E9PRY5
USP48	H3BLX5
UTS2	O95399
UTS2	A0AVP6
UTS2	Q5H8X8
VAMP3	Q15836
VAMP3	K7EKX0
VAMP3	Q6FGG2
VPS13D	Q5THJ4
VPS13D	A0A2R8Y876
VPS13D	A0A2R8YD87
VPS13D	A0A679DQJ9
VPS13D	A0A679DSH4
VPS13D	A0A679DVS7
VPS13D	B1AJZ2
VPS13D	F5GX56
VPS13D	H3BLS7
VPS13D	R4GMW1
VWA1	Q6PCB0
VWA1	A0A024R091
VWA1	A0A024R0E4
VWA1	J3QLP3
VWA1	J3QRR0
VWA5B1	Q5TIE3
VWA5B1	E9PMB3
VWA5B1	E9PNX8
VWA5B1	E9PP07
VWA5B1	E9PQ62
VWA5B1	H0YED8
WASF2	Q9Y6W5
WASF2	Q05BU7
WDTC1	Q8N5D0
WDTC1	H0YEI6
WNT4	P56705
WNT4	B1AJZ6
WNT4	H0Y663
WNT4	Q8IUM6
WRAP73	Q9P2S5
WRAP73	A0A0A0MRV3
WRAP73	J3KTP2
WRAP73	Q5T0D5
WRAP73	Q5TBW1
ZBTB17	Q13105
ZBTB17	H0Y6X2
ZBTB17	H7C1K8
ZBTB40	Q9NUA8
ZBTB40	A0A3B3IRZ6
ZBTB40	B1AKC8
ZBTB40	B2RBP0
ZBTB40	F8WAI8
ZBTB40	Q1RMZ5
ZBTB48	P10074
ZBTB48	K7EM76
ZBTB48	K7ENV2
ZBTB48	Q5SY20
ZBTB48	Q5SY21
ZDHHC18	Q9NUE0
ZDHHC18	E9PJS3
ZDHHC18	H0YEN1
ZNF436	Q9C0F3
ZNF436-AS1	Q8NC38
ZNF593	O00488
ZNF593	A9J4F5
ZNF683	Q8IZ20
ZNF683	A0A0A0MSJ7
ZNF683	A0A0A0MT21
ZNF683	Q5T142
ZNF683	Q5T145
ZNF683	X1WI31
ZNF683	X1WI32
